region_id,name,level,parent
12065276,"Schönermark, b Gransee",lau,12065
12065301,Sonnenberg,lau,12065
12065310,Stechlin,lau,12065
12065332,Velten,lau,12065
12065356,Zehdenick,lau,12065
12066008,Altdöbern,lau,12066
12066041,Bronkow,lau,12066
12066052,Calau,lau,12066
12066064,"Frauendorf, OL",lau,12066
12066104,Großkmehlen,lau,12066
12066112,Großräschen,lau,12066
12066116,Grünewald,lau,12066
12066120,Guteborn,lau,12066
12066124,Hermsdorf,lau,12066
12066132,Hohenbocka,lau,12066
12066168,Kroppen,lau,12066
12066176,Lauchhammer,lau,12066
12066188,Lindenau,lau,12066
12066196,Lübbenau/Spreewald,lau,12066
12066202,Luckaitztal,lau,12066
12066226,Neu-Seeland,lau,12066
12066228,Neupetershain,lau,12066
12066240,Ortrand,lau,12066
12066272,Ruhland,lau,12066
12066285,Schipkau,lau,12066
12066292,"Schwarzbach, b Ruhland",lau,12066
12066296,Schwarzheide,lau,12066
12066304,Senftenberg,lau,12066
12066316,"Tettau, b Ruhland",lau,12066
12066320,Vetschau/Spreewald,lau,12066
12067024,Bad Saarow,lau,12067
12067036,Beeskow,lau,12067
12067040,Berkenbrück,lau,12067
12067072,Briesen (Mark),lau,12067
12067076,Brieskow-Finkenheerd,lau,12067
12067112,Diensdorf-Radlow,lau,12067
12067120,Eisenhüttenstadt,lau,12067
12067124,Erkner,lau,12067
12067137,"Friedland, Mark",lau,12067
12067144,Fürstenwalde/Spree,lau,12067
12067173,Gosen-Neu Zittau,lau,12067
12067180,Groß Lindow,lau,12067
12067201,Grünheide (Mark),lau,12067
12067205,Grunow-Dammendorf,lau,12067
12067237,Jacobsdorf,lau,12067
12067288,Langewahl,lau,12067
12067292,Lawitz,lau,12067
12067310,Madlitz-Wilmersdorf,lau,12067
12067324,Mixdorf,lau,12067
12067336,Müllrose,lau,12067
12067338,Neißemünde,lau,12067
12067357,Neuzelle,lau,12067
12067397,Ragow-Merz,lau,12067
12067408,Rauen,lau,12067
12067413,Reichenwalde,lau,12067
12067426,Rietz-Neuendorf,lau,12067
12067438,Schlaubetal,lau,12067
12067440,Schöneiche bei Berlin,lau,12067
12067458,Siehdichum,lau,12067
12067469,Spreenhagen,lau,12067
12067473,"Steinhöfel, b Fürstenwalde, Spree",lau,12067
12067481,Storkow (Mark),lau,12067
12067493,Tauche,lau,12067
12067508,"Vogelsang, a d Oder",lau,12067
12067520,Wendisch Rietz,lau,12067
12067528,Wiesenau,lau,12067
12067544,"Woltersdorf, b Erkner",lau,12067
12067552,Ziltendorf,lau,12067
12068052,Breddin,lau,12068
12068072,Dabergotz,lau,12068
12068109,"Dreetz, b Neustadt, Dosse",lau,12068
12068117,Fehrbellin,lau,12068
12068181,Heiligengrabe,lau,12068
12068188,Herzberg (Mark),lau,12068
12068264,Kyritz,lau,12068
12068280,Lindow (Mark),lau,12068
12068306,Märkisch Linden,lau,12068
12068320,Neuruppin,lau,12068
12068324,Neustadt (Dosse),lau,12068
12068353,Rheinsberg,lau,12068
12068372,Rüthnick,lau,12068
12068409,Sieversdorf-Hohenofen,lau,12068
12068413,Storbeck-Frankendorf,lau,12068
12068417,Stüdenitz-Schönermark,lau,12068
12068425,Temnitzquell,lau,12068
12068426,Temnitztal,lau,12068
12068437,Vielitzsee,lau,12068
12068452,"Walsleben, b Neuruppin",lau,12068
12068468,Wittstock/Dosse,lau,12068
12068477,Wusterhausen/Dosse,lau,12068
12068501,Zernitz-Lohm,lau,12068
12069017,"Beelitz, Mark",lau,12069
12069018,Beetzsee,lau,12069
12069019,Beetzseeheide,lau,12069
12069020,Bad Belzig,lau,12069
12069028,Bensdorf,lau,12069
12069052,Borkheide,lau,12069
12069056,Borkwalde,lau,12069
12069076,Brück,lau,12069
12069089,Buckautal,lau,12069
12069216,"Golzow, b Brandenburg an der Havel",lau,12069
12069224,Görzke,lau,12069
12069232,Gräben,lau,12069
12069249,Groß Kreutz (Havel),lau,12069
12069270,Havelsee,lau,12069
12069304,Kleinmachnow,lau,12069
12069306,Kloster Lehnin,lau,12069
12069345,Linthe,lau,12069
12069397,Michendorf,lau,12069
12069402,Mühlenfließ,lau,12069
12069448,Niemegk,lau,12069
12069454,Nuthetal,lau,12069
12069460,Päwesin,lau,12069
12069470,Planebruch,lau,12069
